Dir,Plant,File,Sample,Rep
EMIT_IC2_060624_,ATCA,19,1,1
EMIT_IC2_060624_,ATCA,20,1,2
EMIT_IC2_060624_,ATCA,21,1,3
EMIT_IC2_060624_,ATCA,22,2,1
EMIT_IC2_060624_,ATCA,23,2,2
EMIT_IC2_060624_,ATCA,24,2,3
EMIT_IC2_060624_,ATCA,103,3,1
EMIT_IC2_060624_,ATCA,104,3,2
EMIT_IC2_060624_,ATCA,105,3,3
EMIT_IC2_060624_,ATCA,106,4,1
EMIT_IC2_060624_,ATCA,107,4,2
EMIT_IC2_060624_,ATCA,108,4,3
EMIT_IC2_060624_,ATCO,13,1,1
EMIT_IC2_060624_,ATCO,14,1,2
EMIT_IC2_060624_,ATCO,15,1,3
EMIT_IC2_060624_,ATCO,28,2,1
EMIT_IC2_060624_,ATCO,29,2,2
EMIT_IC2_060624_,ATCO,30,2,3
EMIT_IC2_060624_,ATCO,34,3,1
EMIT_IC2_060624_,ATCO,35,3,2
EMIT_IC2_060624_,ATCO,36,3,3
EMIT_IC2_060624_,ATCO,43,4,1
EMIT_IC2_060624_,ATCO,44,4,2
EMIT_IC2_060624_,ATCO,45,4,3
EMIT_IC2_060624_,ATCO,67,5,1
EMIT_IC2_060624_,ATCO,68,5,2
EMIT_IC2_060624_,ATCO,69,5,3
EMIT_IC2_060624_,ATCO,73,6,1
EMIT_IC2_060624_,ATCO,74,6,2
EMIT_IC2_060624_,ATCO,75,6,3
EMIT_IC2_060624_,ATCO,79,7,1
EMIT_IC2_060624_,ATCO,80,7,2
EMIT_IC2_060624_,ATCO,81,7,3
EMIT_IC2_060624_,ATCO,82,8,1
EMIT_IC2_060624_,ATCO,83,8,2
EMIT_IC2_060624_,ATCO,84,8,3
EMIT_IC2_060624_,GUSA,31,1,1
EMIT_IC2_060624_,GUSA,32,1,2
EMIT_IC2_060624_,GUSA,33,1,3
EMIT_IC2_060624_,GUSA,37,2,1
EMIT_IC2_060624_,GUSA,38,2,2
EMIT_IC2_060624_,GUSA,39,2,3
EMIT_IC2_060624_,GUSA,52,3,1
EMIT_IC2_060624_,GUSA,53,3,2
EMIT_IC2_060624_,GUSA,54,3,3
EMIT_IC2_060624_,GUSA,58,4,1
EMIT_IC2_060624_,GUSA,59,4,2
EMIT_IC2_060624_,GUSA,60,4,3
EMIT_IC2_060624_,GUSA,61,5,1
EMIT_IC2_060624_,GUSA,62,5,2
EMIT_IC2_060624_,GUSA,63,5,3
EMIT_IC2_060624_,GUSA,76,6,1
EMIT_IC2_060624_,GUSA,77,6,2
EMIT_IC2_060624_,GUSA,78,6,3
EMIT_IC2_060624_,GUSA,88,7,1
EMIT_IC2_060624_,GUSA,89,7,2
EMIT_IC2_060624_,GUSA,90,7,3
EMIT_IC2_060624_,GUSA,94,8,1
EMIT_IC2_060624_,GUSA,95,8,2
EMIT_IC2_060624_,GUSA,96,8,3
EMIT_IC2_060624_,KRLA,7,1,1
EMIT_IC2_060624_,KRLA,8,1,2
EMIT_IC2_060624_,KRLA,9,1,3
EMIT_IC2_060624_,KRLA,25,2,1
EMIT_IC2_060624_,KRLA,26,2,2
EMIT_IC2_060624_,KRLA,27,2,3
EMIT_IC2_060624_,KRLA,40,3,1
EMIT_IC2_060624_,KRLA,41,3,2
EMIT_IC2_060624_,KRLA,42,3,3
EMIT_IC2_060624_,KRLA,49,4,1
EMIT_IC2_060624_,KRLA,50,4,2
EMIT_IC2_060624_,KRLA,51,4,3
EMIT_IC2_060624_,KRLA,70,5,1
EMIT_IC2_060624_,KRLA,71,5,2
EMIT_IC2_060624_,KRLA,72,5,3
EMIT_IC2_060624_,KRLA,85,6,1
EMIT_IC2_060624_,KRLA,86,6,2
EMIT_IC2_060624_,KRLA,87,6,3
EMIT_IC2_060624_,KRLA,91,7,1
EMIT_IC2_060624_,KRLA,92,7,2
EMIT_IC2_060624_,KRLA,93,7,3
EMIT_IC2_060624_,SAVE,1,1,1
EMIT_IC2_060624_,SAVE,2,1,2
EMIT_IC2_060624_,SAVE,3,1,3
EMIT_IC2_060624_,SAVE,4,2,1
EMIT_IC2_060624_,SAVE,5,2,2
EMIT_IC2_060624_,SAVE,6,2,3
EMIT_IC2_060624_,SAVE,16,3,1
EMIT_IC2_060624_,SAVE,17,3,2
EMIT_IC2_060624_,SAVE,18,3,3
EMIT_IC2_060624_,SAVE,46,4,1
EMIT_IC2_060624_,SAVE,47,4,2
EMIT_IC2_060624_,SAVE,48,4,3
EMIT_IC2_060624_,SAVE,55,5,1
EMIT_IC2_060624_,SAVE,56,5,2
EMIT_IC2_060624_,SAVE,57,5,3
EMIT_IC2_060624_,SAVE,64,6,1
EMIT_IC2_060624_,SAVE,65,6,2
EMIT_IC2_060624_,SAVE,66,6,3
EMIT_IC2_060624_,SAVE,97,7,1
EMIT_IC2_060624_,SAVE,98,7,2
EMIT_IC2_060624_,SAVE,99,7,3
EMIT_IC2_060624_,SAVE,100,8,1
EMIT_IC2_060624_,SAVE,101,8,2
EMIT_IC2_060624_,SAVE,102,8,3
