Dir,Biocrust,File,Sample,Rep
EMIT_IC2_060624_,MOSS,1,1,1
EMIT_IC2_060624_,MOSS,2,1,2
EMIT_IC2_060624_,MOSS,3,1,3
EMIT_IC2_060624_,MOSS,4,1,4
EMIT_IC2_060624_,MOSS,5,1,5
EMIT_IC2_060624_,LCY,6,1,1
EMIT_IC2_060624_,LCY,7,1,2
EMIT_IC2_060624_,LCY,8,1,3
EMIT_IC2_060624_,LCY,9,1,4
EMIT_IC2_060624_,LCY,10,1,5
EMIT_IC2_060624_,XXX,12,1,1
EMIT_IC2_060624_,XXX,13,1,2
EMIT_IC2_060624_,XXX,14,1,3
EMIT_IC2_060624_,XXX,15,1,4
EMIT_IC2_060624_,XXX,16,1,5
EMIT_IC2_060624_,LCY,18,2,1
EMIT_IC2_060624_,LCY,19,2,2
EMIT_IC2_060624_,LCY,20,2,3
EMIT_IC2_060624_,LCY,21,2,4
EMIT_IC2_060624_,LCY,22,2,5
EMIT_IC2_060624_,MOSS,23,2,1
EMIT_IC2_060624_,MOSS,24,2,2
EMIT_IC2_060624_,MOSS,25,2,3
EMIT_IC2_060624_,MOSS,26,2,4
EMIT_IC2_060624_,MOSS,27,2,5
EMIT_IC2_060624_,BGR,28,1,1
EMIT_IC2_060624_,BGR,29,1,2
EMIT_IC2_060624_,BGR,30,1,3
EMIT_IC2_060624_,BGR,31,1,4
EMIT_IC2_060624_,BGR,32,1,5
EMIT_IC2_060624_,BGR,33,2,1
EMIT_IC2_060624_,BGR,34,2,2
EMIT_IC2_060624_,BGR,35,2,3
EMIT_IC2_060624_,BGR,36,2,4
EMIT_IC2_060624_,BGR,37,2,5
EMIT_IC2_060624_,LCY,39,3,1
EMIT_IC2_060624_,LCY,40,3,2
EMIT_IC2_060624_,LCY,41,3,3
EMIT_IC2_060624_,LCY,42,3,4
EMIT_IC2_060624_,LCY,43,3,5
EMIT_IC2_060624_,MOSS,44,3,1
EMIT_IC2_060624_,MOSS,45,3,2
EMIT_IC2_060624_,MOSS,46,3,3
EMIT_IC2_060624_,MOSS,47,3,4
EMIT_IC2_060624_,MOSS,48,3,5
EMIT_IC2_060624_,BGR,49,3,1
EMIT_IC2_060624_,BGR,50,3,2
EMIT_IC2_060624_,BGR,51,3,3
EMIT_IC2_060624_,BGR,52,3,4
EMIT_IC2_060624_,BGR,53,3,5
EMIT_IC2_060624_,LCY,54,4,1
EMIT_IC2_060624_,LCY,55,4,2
EMIT_IC2_060624_,LCY,56,4,3
EMIT_IC2_060624_,LCY,57,4,4
EMIT_IC2_060624_,LCY,58,4,5
EMIT_IC2_060624_,MOSS,59,4,1
EMIT_IC2_060624_,MOSS,60,4,2
EMIT_IC2_060624_,MOSS,61,4,3
EMIT_IC2_060624_,MOSS,62,4,4
EMIT_IC2_060624_,MOSS,63,4,5
EMIT_IC2_060624_,BGR,64,4,1
EMIT_IC2_060624_,BGR,65,4,2
EMIT_IC2_060624_,BGR,66,4,3
EMIT_IC2_060624_,BGR,67,4,4
EMIT_IC2_060624_,BGR,68,4,5
EMIT_IC2_060624_,LCY,69,5,1
EMIT_IC2_060624_,LCY,70,5,2
EMIT_IC2_060624_,LCY,71,5,3
EMIT_IC2_060624_,LCY,72,5,4
EMIT_IC2_060624_,LCY,73,5,5
EMIT_IC2_060624_,MOSS,74,5,1
EMIT_IC2_060624_,MOSS,75,5,2
EMIT_IC2_060624_,MOSS,76,5,3
EMIT_IC2_060624_,MOSS,77,5,4
EMIT_IC2_060624_,MOSS,78,5,5
EMIT_IC2_060624_,BGR,79,5,1
EMIT_IC2_060624_,BGR,80,5,2
EMIT_IC2_060624_,BGR,81,5,3
EMIT_IC2_060624_,BGR,82,5,4
EMIT_IC2_060624_,BGR,83,5,5
EMIT_IC2_060624_,LCY,84,6,1
EMIT_IC2_060624_,LCY,85,6,2
EMIT_IC2_060624_,LCY,86,6,3
EMIT_IC2_060624_,LCY,87,6,4
EMIT_IC2_060624_,LCY,88,6,5
EMIT_IC2_060624_,MOSS,90,6,1
EMIT_IC2_060624_,MOSS,91,6,2
EMIT_IC2_060624_,MOSS,92,6,3
EMIT_IC2_060624_,MOSS,93,6,4
EMIT_IC2_060624_,MOSS,94,6,5
EMIT_IC2_060624_,BGR,95,6,1
EMIT_IC2_060624_,BGR,96,6,2
EMIT_IC2_060624_,BGR,97,6,3
EMIT_IC2_060624_,BGR,98,6,4
EMIT_IC2_060624_,BGR,99,6,5
EMIT_IC2_060624_,LCY,100,7,1
EMIT_IC2_060624_,LCY,101,7,2
EMIT_IC2_060624_,LCY,102,7,3
EMIT_IC2_060624_,LCY,103,7,4
EMIT_IC2_060624_,LCY,104,7,5
EMIT_IC2_060624_,MOSS,105,7,1
EMIT_IC2_060624_,MOSS,106,7,2
EMIT_IC2_060624_,MOSS,107,7,3
