Dir,Biocrust,File,Sample,Rep
EMIT_SF_,BGR,1,1,1
EMIT_SF_,BGR,2,1,2
EMIT_SF_,BGR,3,1,3
EMIT_SF_,BGR,4,1,4
EMIT_SF_,BGR,5,1,5
EMIT_SF_,LCY,6,1,1
EMIT_SF_,LCY,7,1,2
EMIT_SF_,LCY,8,1,3
EMIT_SF_,LCY,9,1,4
EMIT_SF_,LCY,10,1,5
EMIT_SF_,DCY,11,1,1
EMIT_SF_,DCY,12,1,2
EMIT_SF_,DCY,13,1,3
EMIT_SF_,DCY,14,1,4
EMIT_SF_,DCY,15,1,5
EMIT_SF_,COTE,16,1,1
EMIT_SF_,COTE,17,1,2
EMIT_SF_,COTE,18,1,3
EMIT_SF_,COTE,19,1,4
EMIT_SF_,COTE,20,1,5
EMIT_SF_,SQUA,21,1,1
EMIT_SF_,SQUA,22,1,2
EMIT_SF_,SQUA,23,1,3
EMIT_SF_,SQUA,24,1,4
EMIT_SF_,SQUA,25,1,5
EMIT_SF_,BGR,26,2,1
EMIT_SF_,BGR,27,2,2
EMIT_SF_,BGR,28,2,3
EMIT_SF_,BGR,29,2,4
EMIT_SF_,BGR,30,2,5
EMIT_SF_,LCY,31,2,1
EMIT_SF_,LCY,32,2,2
EMIT_SF_,LCY,33,2,3
EMIT_SF_,LCY,34,2,4
EMIT_SF_,LCY,35,2,5
EMIT_SF_,DCY,36,2,1
EMIT_SF_,DCY,37,2,2
EMIT_SF_,DCY,38,2,3
EMIT_SF_,DCY,39,2,4
EMIT_SF_,DCY,40,2,5
EMIT_SF_,COTE,41,2,1
EMIT_SF_,COTE,42,2,2
EMIT_SF_,COTE,43,2,3
EMIT_SF_,COTE,44,2,4
EMIT_SF_,COTE,45,2,5
EMIT_SF_,SQUA,46,2,1
EMIT_SF_,SQUA,47,2,2
EMIT_SF_,SQUA,48,2,3
EMIT_SF_,SQUA,49,2,4
EMIT_SF_,SQUA,50,2,5
EMIT_SF_,BGR,51,3,1
EMIT_SF_,BGR,52,3,2
EMIT_SF_,BGR,53,3,3
EMIT_SF_,BGR,54,3,4
EMIT_SF_,BGR,55,3,5
EMIT_SF_,LCY,61,3,1
EMIT_SF_,LCY,62,3,2
EMIT_SF_,LCY,63,3,3
EMIT_SF_,LCY,64,3,4
EMIT_SF_,LCY,65,3,5
EMIT_SF_,DCY,56,3,1
EMIT_SF_,DCY,57,3,2
EMIT_SF_,DCY,58,3,3
EMIT_SF_,DCY,59,3,4
EMIT_SF_,DCY,60,3,5
EMIT_SF_,COTE,66,3,1
EMIT_SF_,COTE,67,3,2
EMIT_SF_,COTE,68,3,3
EMIT_SF_,COTE,69,3,4
EMIT_SF_,COTE,70,3,5
EMIT_SF_,SQUA,71,3,1
EMIT_SF_,SQUA,72,3,2
EMIT_SF_,SQUA,73,3,3
EMIT_SF_,SQUA,74,3,4
EMIT_SF_,SQUA,75,3,5
EMIT_SF_,BGR,76,4,1
EMIT_SF_,BGR,77,4,2
EMIT_SF_,BGR,78,4,3
EMIT_SF_,BGR,79,4,4
EMIT_SF_,BGR,80,4,5
EMIT_SF_,LCY,81,4,1
EMIT_SF_,LCY,82,4,2
EMIT_SF_,LCY,83,4,3
EMIT_SF_,LCY,84,4,4
EMIT_SF_,LCY,85,4,5
EMIT_SF_,DCY,86,4,1
EMIT_SF_,DCY,87,4,2
EMIT_SF_,DCY,88,4,3
EMIT_SF_,DCY,89,4,4
EMIT_SF_,DCY,90,4,5
EMIT_SF_,COTE,91,4,1
EMIT_SF_,COTE,92,4,2
EMIT_SF_,COTE,93,4,3
EMIT_SF_,COTE,94,4,4
EMIT_SF_,COTE,95,4,5
EMIT_SF_,SQUA,96,4,1
EMIT_SF_,SQUA,97,4,2
EMIT_SF_,SQUA,98,4,3
EMIT_SF_,SQUA,99,4,4
EMIT_SF_,SQUA,100,4,5
EMIT_SF_,COTE,101,5,1
EMIT_SF_,COTE,102,5,2
EMIT_SF_,COTE,103,5,3
EMIT_SF_,COTE,104,5,4
EMIT_SF_,COTE,105,5,5
EMIT_SF_,SQUA,106,5,1
EMIT_SF_,SQUA,107,5,2
EMIT_SF_,SQUA,108,5,3
EMIT_SF_,SQUA,109,5,4
EMIT_SF_,SQUA,110,5,5
EMIT_SF_,COTE,111,6,1
EMIT_SF_,COTE,112,6,2
EMIT_SF_,COTE,113,6,3
EMIT_SF_,COTE,114,6,4
EMIT_SF_,COTE,115,6,5
EMIT_SF_,SQUA,116,6,1
EMIT_SF_,SQUA,117,6,2
EMIT_SF_,SQUA,118,6,3
EMIT_SF_,SQUA,119,6,4
EMIT_SF_,SQUA,120,6,5
EMIT_SF_,BGR,121,5,1
EMIT_SF_,BGR,122,5,2
EMIT_SF_,BGR,123,5,3
EMIT_SF_,BGR,124,5,4
EMIT_SF_,BGR,125,5,5
EMIT_SF_,LCY,126,5,1
EMIT_SF_,LCY,127,5,2
EMIT_SF_,LCY,128,5,3
EMIT_SF_,LCY,129,5,4
EMIT_SF_,LCY,130,5,5
EMIT_SF_,DCY,131,5,1
EMIT_SF_,DCY,132,5,2
EMIT_SF_,DCY,133,5,3
EMIT_SF_,DCY,134,5,4
EMIT_SF_,DCY,135,5,5
EMIT_SF_,BGR,136,6,1
EMIT_SF_,BGR,137,6,2
EMIT_SF_,BGR,138,6,3
EMIT_SF_,BGR,139,6,4
EMIT_SF_,BGR,140,6,5
EMIT_SF_,LCY,141,6,1
EMIT_SF_,LCY,142,6,2
EMIT_SF_,LCY,143,6,3
EMIT_SF_,LCY,144,6,4
EMIT_SF_,LCY,145,6,5
EMIT_SF_,DCY,146,6,1
EMIT_SF_,DCY,147,6,2
EMIT_SF_,DCY,148,6,3
EMIT_SF_,DCY,149,6,4
EMIT_SF_,DCY,150,6,5
EMIT_SF_,BGR,151,7,1
EMIT_SF_,BGR,152,7,2
EMIT_SF_,BGR,153,7,3
EMIT_SF_,BGR,154,7,4
EMIT_SF_,BGR,155,7,5
EMIT_SF_,LCY,156,7,1
EMIT_SF_,LCY,157,7,2
EMIT_SF_,LCY,158,7,3
EMIT_SF_,LCY,159,7,4
EMIT_SF_,LCY,160,7,5
EMIT_SF_,DCY,161,7,1
EMIT_SF_,DCY,162,7,2
EMIT_SF_,DCY,163,7,3
EMIT_SF_,DCY,164,7,4
EMIT_SF_,DCY,165,7,5
EMIT_SF_,BGR,166,8,1
EMIT_SF_,BGR,167,8,2
EMIT_SF_,BGR,168,8,3
EMIT_SF_,BGR,169,8,4
EMIT_SF_,BGR,170,8,5
EMIT_SF_,LCY,171,8,1
EMIT_SF_,LCY,172,8,2
EMIT_SF_,LCY,173,8,3
EMIT_SF_,LCY,174,8,4
EMIT_SF_,LCY,175,8,5
EMIT_SF_,DCY,176,8,1
EMIT_SF_,DCY,177,8,2
EMIT_SF_,DCY,178,8,3
