Dir,Plant,File,Sample,Rep
EMIT_IC3_060824_,ARAR,4,1,1
EMIT_IC3_060824_,ARAR,5,1,2
EMIT_IC3_060824_,ARAR,6,1,3
EMIT_IC3_060824_,ARAR,10,2,1
EMIT_IC3_060824_,ARAR,11,2,2
EMIT_IC3_060824_,ARAR,12,2,3
EMIT_IC3_060824_,ARAR,19,3,1
EMIT_IC3_060824_,ARAR,20,3,2
EMIT_IC3_060824_,ARAR,21,3,3
EMIT_IC3_060824_,ARAR,52,4,1
EMIT_IC3_060824_,ARAR,53,4,2
EMIT_IC3_060824_,ARAR,54,4,3
EMIT_IC3_060824_,ARAR,58,5,1
EMIT_IC3_060824_,ARAR,59,5,2
EMIT_IC3_060824_,ARAR,60,5,3
EMIT_IC3_060824_,ARAR,61,6,1
EMIT_IC3_060824_,ARAR,62,6,2
EMIT_IC3_060824_,ARAR,63,6,3
EMIT_IC3_060824_,ARAR,67,7,1
EMIT_IC3_060824_,ARAR,68,7,2
EMIT_IC3_060824_,ARAR,69,7,3
EMIT_IC3_060824_,ARAR,70,8,1
EMIT_IC3_060824_,ARAR,71,8,2
EMIT_IC3_060824_,ARAR,72,8,3
EMIT_IC3_060824_,CORA,25,1,1
EMIT_IC3_060824_,CORA,26,1,2
EMIT_IC3_060824_,CORA,27,1,3
EMIT_IC3_060824_,CORA,43,2,1
EMIT_IC3_060824_,CORA,44,2,2
EMIT_IC3_060824_,CORA,45,2,3
EMIT_IC3_060824_,CORA,49,3,1
EMIT_IC3_060824_,CORA,50,3,2
EMIT_IC3_060824_,CORA,51,3,3
EMIT_IC3_060824_,CORA,55,4,1
EMIT_IC3_060824_,CORA,56,4,2
EMIT_IC3_060824_,CORA,57,4,3
EMIT_IC3_060824_,EPTO,16,1,1
EMIT_IC3_060824_,EPTO,17,1,2
EMIT_IC3_060824_,EPTO,18,1,3
EMIT_IC3_060824_,EPTO,28,2,1
EMIT_IC3_060824_,EPTO,29,2,2
EMIT_IC3_060824_,EPTO,30,2,3
EMIT_IC3_060824_,EPVI,46,1,1
EMIT_IC3_060824_,EPVI,47,1,2
EMIT_IC3_060824_,EPVI,48,1,3
EMIT_IC3_060824_,JUOS,7,1,1
EMIT_IC3_060824_,JUOS,8,1,2
EMIT_IC3_060824_,JUOS,9,1,3
EMIT_IC3_060824_,JUOS,13,2,1
EMIT_IC3_060824_,JUOS,14,2,2
EMIT_IC3_060824_,JUOS,15,2,3
EMIT_IC3_060824_,JUOS,22,3,1
EMIT_IC3_060824_,JUOS,23,3,2
EMIT_IC3_060824_,JUOS,24,3,3
EMIT_IC3_060824_,JUOS,31,4,1
EMIT_IC3_060824_,JUOS,32,4,2
EMIT_IC3_060824_,JUOS,33,4,3
EMIT_IC3_060824_,JUOS,34,5,1
EMIT_IC3_060824_,JUOS,35,5,2
EMIT_IC3_060824_,JUOS,36,5,3
EMIT_IC3_060824_,JUOS,64,6,1
EMIT_IC3_060824_,JUOS,65,6,2
EMIT_IC3_060824_,JUOS,66,6,3
EMIT_IC3_060824_,KRLA,1,1,1
EMIT_IC3_060824_,KRLA,2,1,2
EMIT_IC3_060824_,KRLA,3,1,3
EMIT_IC3_060824_,KRLA,37,2,1
EMIT_IC3_060824_,KRLA,38,2,2
EMIT_IC3_060824_,KRLA,39,2,3
EMIT_IC3_060824_,KRLA,40,3,1
EMIT_IC3_060824_,KRLA,41,3,2
EMIT_IC3_060824_,KRLA,42,3,3
