sample,rep,base name,spectrum #,spectrum_id,treatment,cover type,species,site,notes
731,1,OK_SPEC,1,OK_SPEC00001,dry,lichen,Collema cocco,SF,Used in preliminary data as well
731,2,OK_SPEC,2,OK_SPEC00002,dry,lichen,Collema cocco,SF,Used in preliminary data as well
731,3,OK_SPEC,3,OK_SPEC00003,dry,lichen,Collema cocco,SF,Used in preliminary data as well
731,4,OK_SPEC,4,OK_SPEC00004,dry,lichen,Collema cocco,SF,Used in preliminary data as well
731,5,OK_SPEC,5,OK_SPEC00005,dry,lichen,Collema cocco,SF,Used in preliminary data as well
731,1,OK_SPEC,6,OK_SPEC00006,wet,lichen,Collema cocco,SF,Used in preliminary data as well
731,2,OK_SPEC,7,OK_SPEC00007,wet,lichen,Collema cocco,SF,Used in preliminary data as well
731,3,OK_SPEC,8,OK_SPEC00008,wet,lichen,Collema cocco,SF,Used in preliminary data as well
731,4,OK_SPEC,9,OK_SPEC00009,wet,lichen,Collema cocco,SF,Used in preliminary data as well
731,5,OK_SPEC,10,OK_SPEC00010,wet,lichen,Collema cocco,SF,Used in preliminary data as well
728,1,OK_SPEC,11,OK_SPEC00011,dry,bare,bare,SF,Used in preliminary data as well
728,2,OK_SPEC,12,OK_SPEC00012,dry,bare,bare,SF,Used in preliminary data as well
728,3,OK_SPEC,13,OK_SPEC00013,dry,bare,bare,SF,Used in preliminary data as well
728,4,OK_SPEC,14,OK_SPEC00014,dry,bare,bare,SF,Used in preliminary data as well
728,5,OK_SPEC,15,OK_SPEC00015,dry,bare,bare,SF,Used in preliminary data as well
728,1,OK_SPEC,16,OK_SPEC00016,wet,bare,bare,SF,Used in preliminary data as well
728,2,OK_SPEC,17,OK_SPEC00017,wet,bare,bare,SF,Used in preliminary data as well
728,3,OK_SPEC,18,OK_SPEC00018,wet,bare,bare,SF,Used in preliminary data as well
728,4,OK_SPEC,19,OK_SPEC00019,wet,bare,bare,SF,Used in preliminary data as well
728,5,OK_SPEC,20,OK_SPEC00020,wet,bare,bare,SF,Used in preliminary data as well
732,1,OK_SPEC,21,OK_SPEC00021,dry,lichen,Squamarina,SF,Used in preliminary data as well
732,2,OK_SPEC,22,OK_SPEC00022,dry,lichen,Squamarina,SF,Used in preliminary data as well
732,3,OK_SPEC,23,OK_SPEC00023,dry,lichen,Squamarina,SF,Used in preliminary data as well
732,4,OK_SPEC,24,OK_SPEC00024,dry,lichen,Squamarina,SF,Used in preliminary data as well
732,5,OK_SPEC,25,OK_SPEC00025,dry,lichen,Squamarina,SF,Used in preliminary data as well
732,1,OK_SPEC,26,OK_SPEC00026,wet,lichen,Squamarina,SF,Used in preliminary data as well
732,2,OK_SPEC,27,OK_SPEC00027,wet,lichen,Squamarina,SF,Used in preliminary data as well
732,3,OK_SPEC,28,OK_SPEC00028,wet,lichen,Squamarina,SF,Used in preliminary data as well
732,4,OK_SPEC,29,OK_SPEC00029,wet,lichen,Squamarina,SF,Used in preliminary data as well
732,5,OK_SPEC,30,OK_SPEC00030,wet,lichen,Squamarina,SF,Used in preliminary data as well
717,1,OK_SPEC,31,OK_SPEC00031,dry,lichen,Collema cocco,SF,
717,2,OK_SPEC,32,OK_SPEC00032,dry,lichen,Collema cocco,SF,
717,3,OK_SPEC,33,OK_SPEC00033,dry,lichen,Collema cocco,SF,
717,4,OK_SPEC,34,OK_SPEC00034,dry,lichen,Collema cocco,SF,
717,5,OK_SPEC,35,OK_SPEC00035,dry,lichen,Collema cocco,SF,
717,1,OK_SPEC,36,OK_SPEC00036,wet,lichen,Collema cocco,SF,
717,2,OK_SPEC,37,OK_SPEC00037,wet,lichen,Collema cocco,SF,
717,3,OK_SPEC,38,OK_SPEC00038,wet,lichen,Collema cocco,SF,
717,4,OK_SPEC,39,OK_SPEC00039,wet,lichen,Collema cocco,SF,
717,5,OK_SPEC,40,OK_SPEC00040,wet,lichen,Collema cocco,SF,
718,1,OK_SPEC,41,OK_SPEC00041,dry,lichen,Squamarina,SF,
718,2,OK_SPEC,42,OK_SPEC00042,dry,lichen,Squamarina,SF,
718,3,OK_SPEC,43,OK_SPEC00043,dry,lichen,Squamarina,SF,
718,4,OK_SPEC,44,OK_SPEC00044,dry,lichen,Squamarina,SF,
718,5,OK_SPEC,45,OK_SPEC00045,dry,lichen,Squamarina,SF,
718,1,OK_SPEC,46,OK_SPEC00046,wet,lichen,Squamarina,SF,
718,2,OK_SPEC,47,OK_SPEC00047,wet,lichen,Squamarina,SF,
718,3,OK_SPEC,48,OK_SPEC00048,wet,lichen,Squamarina,SF,
718,4,OK_SPEC,49,OK_SPEC00049,wet,lichen,Squamarina,SF,
718,5,OK_SPEC,50,OK_SPEC00050,wet,lichen,Squamarina,SF,
704,1,OK_SPEC,51,OK_SPEC00051,dry,lichen,Collema cocco,SF,
704,2,OK_SPEC,52,OK_SPEC00052,dry,lichen,Collema cocco,SF,
704,3,OK_SPEC,53,OK_SPEC00053,dry,lichen,Collema cocco,SF,
704,4,OK_SPEC,54,OK_SPEC00054,dry,lichen,Collema cocco,SF,
704,5,OK_SPEC,55,OK_SPEC00055,dry,lichen,Collema cocco,SF,
704,1,OK_SPEC,56,OK_SPEC00056,wet,lichen,Collema cocco,SF,
704,2,OK_SPEC,57,OK_SPEC00057,wet,lichen,Collema cocco,SF,
704,3,OK_SPEC,58,OK_SPEC00058,wet,lichen,Collema cocco,SF,
704,4,OK_SPEC,59,OK_SPEC00059,wet,lichen,Collema cocco,SF,
704,5,OK_SPEC,60,OK_SPEC00060,wet,lichen,Collema cocco,SF,
721,1,OK_SPEC,61,OK_SPEC00061,dry,dcy,dcy,SF,
721,2,OK_SPEC,62,OK_SPEC00062,dry,dcy,dcy,SF,
721,3,OK_SPEC,63,OK_SPEC00063,dry,dcy,dcy,SF,
721,4,OK_SPEC,64,OK_SPEC00064,dry,dcy,dcy,SF,
721,5,OK_SPEC,65,OK_SPEC00065,dry,dcy,dcy,SF,
721,1,OK_SPEC,66,OK_SPEC00066,wet,dcy,dcy,SF,
721,2,OK_SPEC,67,OK_SPEC00067,wet,dcy,dcy,SF,
721,3,OK_SPEC,68,OK_SPEC00068,wet,dcy,dcy,SF,
721,4,OK_SPEC,69,OK_SPEC00069,wet,dcy,dcy,SF,
721,5,OK_SPEC,70,OK_SPEC00070,wet,dcy,dcy,SF,
730,1,OK_SPEC,81,OK_SPEC00081,dry,dcy,dcy,SF,
730,2,OK_SPEC,82,OK_SPEC00082,dry,dcy,dcy,SF,
730,3,OK_SPEC,83,OK_SPEC00083,dry,dcy,dcy,SF,
730,4,OK_SPEC,84,OK_SPEC00084,dry,dcy,dcy,SF,
730,5,OK_SPEC,85,OK_SPEC00085,dry,dcy,dcy,SF,
730,1,OK_SPEC,86,OK_SPEC00086,wet,dcy,dcy,SF,
730,2,OK_SPEC,87,OK_SPEC00087,wet,dcy,dcy,SF,
730,3,OK_SPEC,88,OK_SPEC00088,wet,dcy,dcy,SF,
730,4,OK_SPEC,89,OK_SPEC00089,wet,dcy,dcy,SF,
730,5,OK_SPEC,90,OK_SPEC00090,wet,dcy,dcy,SF,
712,1,OK_SPEC,91,OK_SPEC00091,dry,lichen,Collema tenax,SF,
712,2,OK_SPEC,92,OK_SPEC00092,dry,lichen,Collema tenax,SF,
712,3,OK_SPEC,93,OK_SPEC00093,dry,lichen,Collema tenax,SF,
712,4,OK_SPEC,94,OK_SPEC00094,dry,lichen,Collema tenax,SF,
712,5,OK_SPEC,95,OK_SPEC00095,dry,lichen,Collema tenax,SF,
712,1,OK_SPEC,96,OK_SPEC00096,wet,lichen,Collema tenax,SF,
712,2,OK_SPEC,97,OK_SPEC00097,wet,lichen,Collema tenax,SF,
712,3,OK_SPEC,98,OK_SPEC00098,wet,lichen,Collema tenax,SF,
712,4,OK_SPEC,99,OK_SPEC00099,wet,lichen,Collema tenax,SF,
712,5,OK_SPEC,100,OK_SPEC00100,wet,lichen,Collema tenax,SF,
729,1,OK_SPEC,101,OK_SPEC00101,dry,lcy,lcy,SF,
729,2,OK_SPEC,102,OK_SPEC00102,dry,lcy,lcy,SF,
729,3,OK_SPEC,103,OK_SPEC00103,dry,lcy,lcy,SF,
729,4,OK_SPEC,104,OK_SPEC00104,dry,lcy,lcy,SF,
729,5,OK_SPEC,105,OK_SPEC00105,dry,lcy,lcy,SF,
729,1,OK_SPEC,106,OK_SPEC00106,wet,lcy,lcy,SF,
729,2,OK_SPEC,107,OK_SPEC00107,wet,lcy,lcy,SF,
729,3,OK_SPEC,108,OK_SPEC00108,wet,lcy,lcy,SF,
729,4,OK_SPEC,109,OK_SPEC00109,wet,lcy,lcy,SF,
729,5,OK_SPEC,110,OK_SPEC00110,wet,lcy,lcy,SF,
727,1,OK_SPEC,111,OK_SPEC00111,dry,dcy,dcy,SF,
