Dir,Biocrust,File,Sample ,Rep
USGS_B_,MOSS,1,1,1
USGS_B_,MOSS,2,1,2
USGS_B_,MOSS,3,1,3
USGS_B_,LCY,4,2,1
USGS_B_,LCY,5,2,2
USGS_B_,LCY,6,2,3
USGS_B_,BGR,7,3,1
USGS_B_,BGR,8,3,2
USGS_B_,BGR,9,3,3
USGS_B_,DCY,10,4,1
USGS_B_,DCY,11,4,2
USGS_B_,DCY,12,4,3
USGS_B_,COTE,13,5,1
USGS_B_,COTE,14,5,2
USGS_B_,COTE,15,5,3
USGS_B_,LCNy,16,5,1
USGS_B_,LCNy,17,5,2
USGS_B_,LCNy,18,5,3
USGS_B_,MOSS,19,6,1
USGS_B_,MOSS,20,6,2
USGS_B_,MOSS,21,6,3
USGS_B_,LCY,22,7,1
USGS_B_,LCY,23,7,2
USGS_B_,LCY,24,7,3
USGS_B_,BGR,25,8,1
USGS_B_,BGR,26,8,2
USGS_B_,BGR,27,8,3
USGS_B_,LCY,28,9,1
USGS_B_,LCY,29,9,2
USGS_B_,LCY,30,9,3
USGS_B_,BGR,31,10,1
USGS_B_,BGR,32,10,2
USGS_B_,BGR,33,10,3
USGS_B_,DCY,34,11,1
USGS_B_,DCY,35,11,2
USGS_B_,DCY,36,11,3
USGS_B_,COTE,37,12,1
USGS_B_,COTE,38,12,2
USGS_B_,COTE,39,12,3
USGS_B_,LCNp,40,12,1
USGS_B_,LCNp,41,12,2
USGS_B_,LCNp,42,12,3
USGS_B_,COTE,43,13,1
USGS_B_,COTE,44,13,2
USGS_B_,COTE,45,13,3
USGS_B_,LCNy,46,13,1
USGS_B_,LCNy,47,13,2
USGS_B_,LCNy,48,13,3
USGS_B_,LCY,49,14,1
USGS_B_,LCY,50,14,2
USGS_B_,LCY,51,14,3
USGS_B_,BGR,52,15,1
USGS_B_,BGR,53,15,2
USGS_B_,BGR,54,15,3
USGS_B_,DCY,55,16,1
USGS_B_,DCY,56,16,2
USGS_B_,DCY,57,16,3
USGS_B_,COTE,58,17,1
USGS_B_,COTE,59,17,2
USGS_B_,COTE,60,17,3
USGS_B_,MOSS,61,18,1
USGS_B_,MOSS,62,18,2
USGS_B_,MOSS,63,18,3
USGS_B_,MOSS,64,19,1
USGS_B_,MOSS,65,19,2
USGS_B_,MOSS,66,19,3
USGS_B_,COTE,67,20,1
USGS_B_,COTE,68,20,2
USGS_B_,COTE,69,20,3
USGS_B_,LCNy,70,20,1
USGS_B_,LCNy,71,20,2
USGS_B_,LCNy,72,20,3
USGS_B_,BGR,73,21,1
USGS_B_,BGR,74,21,2
USGS_B_,BGR,75,21,3
USGS_B_,LCY,76,22,1
USGS_B_,LCY,77,22,2
USGS_B_,LCY,78,22,3
USGS_B_,DCY,79,23,1
USGS_B_,DCY,80,23,2
USGS_B_,DCY,81,23,3
USGS_B_,BGR,82,24,1
USGS_B_,BGR,83,24,2
USGS_B_,BGR,84,24,3
USGS_B_,LCY,85,25,1
USGS_B_,LCY,86,25,2
USGS_B_,LCY,87,25,3
USGS_B_,COTE,88,26,1
USGS_B_,COTE,89,26,2
USGS_B_,COTE,90,26,3
USGS_B_,LCNy,91,26,1
USGS_B_,LCNy,92,26,2
USGS_B_,LCNy,93,26,3
USGS_B_,LCNp,94,26,1
USGS_B_,LCNp,95,26,2
USGS_B_,LCNp,96,26,3
USGS_B_,DCY,97,27,1
USGS_B_,DCY,98,27,2
USGS_B_,DCY,99,27,3
USGS_B_,MOSS,100,28,1
USGS_B_,MOSS,101,28,2
USGS_B_,MOSS,102,28,3
USGS_B_,MOSS,103,29,1
USGS_B_,MOSS,104,29,2
USGS_B_,MOSS,105,29,3
USGS_B_,DCY,106,30,1
USGS_B_,DCY,107,30,2
USGS_B_,DCY,108,30,3
USGS_B_,MOSS,109,31,1
USGS_B_,MOSS,110,31,2
USGS_B_,MOSS,111,31,3
USGS_B_,LCY,112,32,1
USGS_B_,LCY,113,32,2
USGS_B_,LCY,114,32,3
USGS_B_,BGR,115,33,1
USGS_B_,BGR,116,33,2
USGS_B_,BGR,117,33,3
USGS_B_,LCY,118,34,1
USGS_B_,LCY,119,34,2
USGS_B_,LCY,120,34,3
USGS_B_,DCY,121,35,1
USGS_B_,DCY,122,35,2
USGS_B_,DCY,123,35,3
USGS_B_,DCY,124,36,1
USGS_B_,DCY,125,36,2
USGS_B_,DCY,126,36,3
USGS_B_,COTE,127,37,1
USGS_B_,COTE,128,37,2
USGS_B_,COTE,129,37,3
USGS_B_,COTEl,130,37,1
USGS_B_,COTEl,131,37,2
USGS_B_,COTEl,132,37,3
USGS_B_,LCNp,133,37,1
USGS_B_,LCNp,134,37,2
USGS_B_,LCNp,135,37,3
USGS_B_,DCY,136,38,1
USGS_B_,DCY,137,38,2
USGS_B_,DCY,138,38,3
USGS_B_,MOSS,139,39,1
USGS_B_,MOSS,140,39,2
USGS_B_,MOSS,141,39,3
USGS_B_,COTE,142,40,1
USGS_B_,COTE,143,40,2
USGS_B_,COTE,144,40,3
USGS_B_,LCNy,145,40,1
USGS_B_,LCNy,146,40,2
USGS_B_,LCNy,147,40,3
