Dir,Biocrust,File,Sample ,Rep
USGS_B_,MOSS,1,1,1
USGS_B_,MOSS,2,1,2
USGS_B_,MOSS,3,1,3
USGS_B_,LCY,4,2,1
USGS_B_,LCY,5,2,2
USGS_B_,LCY,6,2,3
USGS_B_,BGR,7,3,1
USGS_B_,BGR,8,3,2
USGS_B_,BGR,9,3,3
USGS_B_,LCY,10,4,1
USGS_B_,LCY,11,4,2
USGS_B_,LCY,12,4,3
USGS_B_,BGR,13,5,1
USGS_B_,BGR,14,5,2
USGS_B_,BGR,15,5,3
USGS_B_,MOSS,16,6,1
USGS_B_,MOSS,17,6,2
USGS_B_,MOSS,18,6,3
USGS_B_,MOSS,19,10,1
USGS_B_,MOSS,20,10,2
USGS_B_,MOSS,21,10,3
USGS_B_,BGR,22,8,1
USGS_B_,BGR,23,8,2
USGS_B_,BGR,24,8,3
USGS_B_,LCY,25,9,1
USGS_B_,LCY,26,9,2
USGS_B_,LCY,27,9,3
USGS_B_,LCY,28,7,1
USGS_B_,LCY,29,7,2
USGS_B_,LCY,30,7,3
USGS_B_,BGR,31,12,1
USGS_B_,BGR,32,12,2
USGS_B_,BGR,33,12,3
USGS_B_,MOSS,34,11,1
USGS_B_,MOSS,35,11,2
USGS_B_,MOSS,36,11,3
USGS_B_,LCY,37,14,1
USGS_B_,LCY,38,14,2
USGS_B_,LCY,39,14,3
USGS_B_,BGR,40,15,1
USGS_B_,BGR,41,15,2
USGS_B_,BGR,42,15,3
USGS_B_,BGR,43,16,1
USGS_B_,BGR,44,16,2
USGS_B_,BGR,45,16,3
USGS_B_,LCY,46,17,1
USGS_B_,LCY,47,17,2
USGS_B_,LCY,48,17,3
USGS_B_,MOSS,49,18,1
USGS_B_,MOSS,50,18,2
USGS_B_,MOSS,51,18,3
USGS_B_,LCY,52,20,1
USGS_B_,LCY,53,20,2
USGS_B_,LCY,54,20,3
USGS_B_,BGR,55,21,1
USGS_B_,BGR,56,21,2
USGS_B_,BGR,57,21,3
USGS_B_,LCY,58,22,1
USGS_B_,LCY,59,22,2
USGS_B_,LCY,60,22,3
USGS_B_,BGR,61,24,1
USGS_B_,BGR,62,24,2
USGS_B_,BGR,63,24,3
USGS_B_,MOSS,64,19,1
USGS_B_,MOSS,65,19,2
USGS_B_,MOSS,66,19,3
USGS_B_,MOSS,67,23,1
USGS_B_,MOSS,68,23,2
USGS_B_,MOSS,69,23,3
