sample ID,sample,rep,base name,spectrum #,spectrum_id,treatment,functional group,cover type,species,site,notes
HB-1,1,1,EMIT_SPEC,651,EMIT_SPEC00651,dry,moss,M,Syntrichia ruralis,HorseThief,"lights were left on, redo"
HB-1,1,2,EMIT_SPEC,652,EMIT_SPEC00652,dry,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,3,EMIT_SPEC,653,EMIT_SPEC00653,dry,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,4,EMIT_SPEC,654,EMIT_SPEC00654,dry,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,5,EMIT_SPEC,655,EMIT_SPEC00655,dry,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,1,EMIT_SPEC,656,EMIT_SPEC00656,wet,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,2,EMIT_SPEC,657,EMIT_SPEC00657,wet,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,3,EMIT_SPEC,658,EMIT_SPEC00658,wet,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,4,EMIT_SPEC,659,EMIT_SPEC00659,wet,moss,M,Syntrichia ruralis,HorseThief,
HB-1,1,5,EMIT_SPEC,660,EMIT_SPEC00660,wet,moss,M,Syntrichia ruralis,HorseThief,
HB-2,2,1,EMIT_SPEC,661,EMIT_SPEC00661,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,2,EMIT_SPEC,662,EMIT_SPEC00662,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,3,EMIT_SPEC,663,EMIT_SPEC00663,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,4,EMIT_SPEC,664,EMIT_SPEC00664,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,5,EMIT_SPEC,665,EMIT_SPEC00665,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,1,EMIT_SPEC,666,EMIT_SPEC00666,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,2,EMIT_SPEC,667,EMIT_SPEC00667,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,3,EMIT_SPEC,668,EMIT_SPEC00668,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,4,EMIT_SPEC,669,EMIT_SPEC00669,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-2,2,5,EMIT_SPEC,670,EMIT_SPEC00670,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-3,3,1,EMIT_SPEC,671,EMIT_SPEC00671,dry,Bare ,B,Bare ,HorseThief,
HB-3,3,2,EMIT_SPEC,672,EMIT_SPEC00672,dry,Bare ,B,Bare ,HorseThief,
HB-3,3,3,EMIT_SPEC,673,EMIT_SPEC00673,dry,Bare ,B,Bare ,HorseThief,
HB-3,3,4,EMIT_SPEC,674,EMIT_SPEC00674,dry,Bare ,B,Bare ,HorseThief,
HB-3,3,5,EMIT_SPEC,675,EMIT_SPEC00675,dry,Bare ,B,Bare ,HorseThief,
HB-3,3,1,EMIT_SPEC,676,EMIT_SPEC00676,wet,Bare ,B,Bare ,HorseThief,
HB-3,3,2,EMIT_SPEC,677,EMIT_SPEC00677,wet,Bare ,B,Bare ,HorseThief,
HB-3,3,3,EMIT_SPEC,678,EMIT_SPEC00678,wet,Bare ,B,Bare ,HorseThief,
HB-3,3,4,EMIT_SPEC,679,EMIT_SPEC00679,wet,Bare ,B,Bare ,HorseThief,
HB-3,3,5,EMIT_SPEC,680,EMIT_SPEC00680,wet,Bare ,B,Bare ,HorseThief,
HB-4,4,1,EMIT_SPEC,681,EMIT_SPEC00681,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-4,4,2,EMIT_SPEC,682,EMIT_SPEC00682,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-4,4,3,EMIT_SPEC,683,EMIT_SPEC00683,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-4,4,4,EMIT_SPEC,684,EMIT_SPEC00684,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-4,4,5,EMIT_SPEC,685,EMIT_SPEC00685,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
