Dir,Biocrust,File,Sample ,Rep
USGS_B_,LCY,1,34,1
USGS_B_,LCY,2,34,2
USGS_B_,LCY,3,34,3
USGS_B_,MOSS,4,6,1
USGS_B_,MOSS,5,6,2
USGS_B_,MOSS,6,6,3
USGS_B_,MOSS,7,39,1
USGS_B_,MOSS,8,39,2
USGS_B_,MOSS,9,39,3
USGS_B_,MOSS,10,31,1
USGS_B_,MOSS,11,31,2
USGS_B_,MOSS,12,31,3
USGS_B_,LCY,13,2,1
USGS_B_,LCY,14,2,2
USGS_B_,LCY,15,2,3
USGS_B_,BGR,16,24,1
USGS_B_,BGR,17,24,2
USGS_B_,BGR,18,24,3
USGS_B_,BGR,19,10,1
USGS_B_,BGR,20,10,2
USGS_B_,BGR,21,10,3
USGS_B_,MOSS,22,19,1
USGS_B_,MOSS,23,19,2
USGS_B_,MOSS,24,19,3
USGS_B_,LCY,25,9,1
USGS_B_,LCY,26,9,2
USGS_B_,LCY,27,9,3
USGS_B_,MOSS,28,29,1
USGS_B_,MOSS,29,29,2
USGS_B_,MOSS,30,29,3
USGS_B_,LCY,31,22,1
USGS_B_,LCY,32,22,2
USGS_B_,LCY,33,22,3
USGS_B_,MOSS,34,18,1
USGS_B_,MOSS,35,18,2
USGS_B_,MOSS,36,18,3
USGS_B_,BGR,37,35,1
USGS_B_,BGR,38,35,2
USGS_B_,BGR,39,35,3
USGS_B_,LCNp,40,26,1
USGS_B_,LCNp,41,26,2
USGS_B_,LCNp,42,26,3
USGS_B_,LCNgr,43,26,1
USGS_B_,LCNgr,44,26,2
USGS_B_,LCNgr,45,26,3
USGS_B_,LCNy,46,26,1
USGS_B_,LCNy,47,26,2
USGS_B_,LCNy,48,26,3
USGS_B_,LCNg,49,26,1
USGS_B_,LCNg,50,26,2
USGS_B_,LCNg,51,26,3
USGS_B_,LCNbr,52,23,1
USGS_B_,LCNbr,53,23,2
USGS_B_,LCNbr,54,23,3
USGS_B_,LCY,55,14,1
USGS_B_,LCY,56,14,2
USGS_B_,LCY,57,14,3
USGS_B_,MOSS,58,1,1
USGS_B_,MOSS,59,1,2
USGS_B_,MOSS,60,1,3
USGS_B_,MOSS,61,28,1
USGS_B_,MOSS,62,28,2
USGS_B_,MOSS,63,28,3
USGS_B_,LCNp,64,17,1
USGS_B_,LCNp,65,17,2
USGS_B_,LCNp,66,17,3
USGS_B_,LCNy,67,17,1
USGS_B_,LCNy,68,17,2
USGS_B_,LCNy,69,17,3
USGS_B_,BGR,70,21,1
USGS_B_,BGR,71,21,2
USGS_B_,BGR,72,21,3
USGS_B_,LCNbr,73,16,1
USGS_B_,LCNbr,74,16,2
USGS_B_,LCNbr,75,16,3
USGS_B_,LCNp,76,12,1
USGS_B_,LCNp,77,12,2
USGS_B_,LCNp,78,12,3
USGS_B_,LCNgr,79,12,1
USGS_B_,LCNgr,80,12,2
USGS_B_,LCNgr,81,12,3
USGS_B_,LCNy,82,12,1
USGS_B_,LCNy,83,12,2
USGS_B_,LCNy,84,12,3
USGS_B_,LCNbr,85,36,1
USGS_B_,LCNbr,87,36,2
USGS_B_,LCNbr,88,36,3
USGS_B_,LCY,89,25,1
USGS_B_,LCY,90,25,2
USGS_B_,LCY,91,25,3
USGS_B_,BGR,92,15,1
USGS_B_,BGR,93,15,2
USGS_B_,BGR,94,15,3
USGS_B_,LCY,95,32,1
USGS_B_,LCY,96,32,2
USGS_B_,LCY,97,32,3
USGS_B_,LCNp,98,40,1
USGS_B_,LCNp,99,40,2
USGS_B_,LCNp,100,40,3
USGS_B_,LCNgr,101,40,1
USGS_B_,LCNgr,102,40,2
USGS_B_,LCNgr,103,40,3
USGS_B_,LCNy,104,40,1
USGS_B_,LCNy,105,40,2
USGS_B_,LCNy,106,40,3
USGS_B_,LCNbr,107,38,1
USGS_B_,LCNbr,108,38,2
USGS_B_,LCNbr,109,38,3
USGS_B_,CALC,110,NA,1
USGS_B_,CALC,111,NA,2
USGS_B_,CALC,112,NA,3
USGS_B_,CALC,113,NA,1
USGS_B_,CALC,114,NA,2
USGS_B_,CALC,115,NA,3
USGS_B_,LCY,116,7,1
USGS_B_,LCY,117,7,2
