Dir,Panel,File,Sample ,Rep
USGS_ASD_Panel,White,1,1,1
USGS_ASD_Panel,Grey,2,2,1
USGS_ASD_Panel,Black,3,3,1
USGS_ASD_Panel,Solar,4,4,1
USGS_ASD_Panel,White,5,5,1
USGS_ASD_Panel,White,6,5,2
USGS_ASD_Panel,White,7,5,3
USGS_ASD_Panel,Grey,8,6,1
USGS_ASD_Panel,Grey,9,6,2
USGS_ASD_Panel,Grey,10,6,3
USGS_ASD_Panel,Black,11,7,1
USGS_ASD_Panel,Black,12,7,2
USGS_ASD_Panel,Black,13,7,3
USGS_ASD_Panel,White,14,8,1
USGS_ASD_Panel,White,15,8,2
USGS_ASD_Panel,White,16,8,3
USGS_ASD_Panel,Grey,17,9,1
USGS_ASD_Panel,Grey,18,9,2
USGS_ASD_Panel,Grey,19,9,3
USGS_ASD_Panel,Black,20,10,1
USGS_ASD_Panel,Black,21,10,2
USGS_ASD_Panel,Black,22,10,3
USGS_CAL2,White,4,11,1
USGS_CAL2,White,5,11,2
USGS_CAL2,White,6,11,3
USGS_CAL2,Grey,7,12,1
USGS_CAL2,Grey,8,12,2
USGS_CAL2,Grey,9,12,3
USGS_CAL2,Black,11,13,1
USGS_CAL2,Black,12,13,2
USGS_CAL2,Black,13,13,3
