Dir,Plant,File,,
EMIT_IC1_060724_,GUSA,1,,
EMIT_IC1_060724_,GUSA,2,,
EMIT_IC1_060724_,GUSA,3,,
EMIT_IC1_060724_,CORA,4,,
EMIT_IC1_060724_,CORA,5,,
EMIT_IC1_060724_,CORA,6,,
EMIT_IC1_060724_,ATCA,7,,
EMIT_IC1_060724_,ATCA,8,,
EMIT_IC1_060724_,ATCA,9,,
EMIT_IC1_060724_,CORA,11,,
EMIT_IC1_060724_,CORA,12,,
EMIT_IC1_060724_,CORA,13,,
EMIT_IC1_060724_,ATCO,14,,
EMIT_IC1_060724_,ATCO,15,,
EMIT_IC1_060724_,ATCO,16,,
EMIT_IC1_060724_,CORA,17,,
EMIT_IC1_060724_,CORA,18,,
EMIT_IC1_060724_,CORA,19,,
EMIT_IC1_060724_,ATCO,20,,
EMIT_IC1_060724_,ATCO,21,,
EMIT_IC1_060724_,ATCO,22,,
EMIT_IC1_060724_,ATCO,23,,
EMIT_IC1_060724_,ATCO,24,,
EMIT_IC1_060724_,ATCO,25,,
EMIT_IC1_060724_,GUSA,25,,
EMIT_IC1_060724_,GUSA,26,,
EMIT_IC1_060724_,GUSA,27,,
EMIT_IC1_060724_,GUSA,28,,
EMIT_IC1_060724_,GUSA,29,,
EMIT_IC1_060724_,GUSA,30,,
EMIT_IC1_060724_,ATCA,31,,
EMIT_IC1_060724_,ATCA,32,,
EMIT_IC1_060724_,ATCA,33,,
EMIT_IC1_060724_,CORA,34,,
EMIT_IC1_060724_,CORA,35,,
EMIT_IC1_060724_,CORA,36,,
EMIT_IC1_060724_,ARSP,37,,
EMIT_IC1_060724_,ARSP,38,,
EMIT_IC1_060724_,ARSP,39,,
EMIT_IC1_060724_,EPTO,40,,
EMIT_IC1_060724_,EPTO,41,,
EMIT_IC1_060724_,EPTO,42,,
EMIT_IC1_060724_,ARSP,43,,
EMIT_IC1_060724_,ARSP,44,,
EMIT_IC1_060724_,ARSP,45,,
EMIT_IC1_060724_,EPTO,46,,
EMIT_IC1_060724_,EPTO,47,,
EMIT_IC1_060724_,EPTO,48,,
EMIT_IC1_060724_,GUSA,49,,
EMIT_IC1_060724_,GUSA,50,,
EMIT_IC1_060724_,GUSA,51,,
EMIT_IC1_060724_,EPTO,52,,
EMIT_IC1_060724_,EPTO,53,,
EMIT_IC1_060724_,EPTO,54,,
EMIT_IC1_060724_,ERNA,55,,
EMIT_IC1_060724_,ERNA,56,,
EMIT_IC1_060724_,ERNA,57,,
EMIT_IC1_060724_,ERNA,58,,
EMIT_IC1_060724_,ERNA,59,,
EMIT_IC1_060724_,ERNA,60,,
EMIT_IC1_060724_,JUOS,61,,
EMIT_IC1_060724_,JUOS,62,,
EMIT_IC1_060724_,JUOS,63,,
EMIT_IC1_060724_,JUOS,64,,
EMIT_IC1_060724_,JUOS,65,,
EMIT_IC1_060724_,JUOS,66,,
EMIT_IC1_060724_,ATCA,67,,
EMIT_IC1_060724_,ATCA,68,,
EMIT_IC1_060724_,ATCA,69,,
EMIT_IC1_060724_,ATCA,70,,
EMIT_IC1_060724_,ATCA,71,,
EMIT_IC1_060724_,ATCA,72,,
EMIT_IC1_060724_,ATCA,73,,
EMIT_IC1_060724_,CORA,73,,
