Dir,Plant,File
EMIT_IC3_060824_,KRLA,1
EMIT_IC3_060824_,KRLA,2
EMIT_IC3_060824_,KRLA,3
EMIT_IC3_060824_,ARAR,4
EMIT_IC3_060824_,ARAR,5
EMIT_IC3_060824_,ARAR,6
EMIT_IC3_060824_,JUOS,7
EMIT_IC3_060824_,JUOS,8
EMIT_IC3_060824_,JUOS,9
EMIT_IC3_060824_,ARAR,10
EMIT_IC3_060824_,ARAR,11
EMIT_IC3_060824_,ARAR,12
EMIT_IC3_060824_,JUOS,13
EMIT_IC3_060824_,JUOS,14
EMIT_IC3_060824_,JUOS,15
EMIT_IC3_060824_,EPTO,16
EMIT_IC3_060824_,EPTO,17
EMIT_IC3_060824_,EPTO,18
EMIT_IC3_060824_,ARAR,19
EMIT_IC3_060824_,ARAR,20
EMIT_IC3_060824_,ARAR,21
EMIT_IC3_060824_,JUOS,22
EMIT_IC3_060824_,JUOS,23
EMIT_IC3_060824_,JUOS,24
EMIT_IC3_060824_,CORA,25
EMIT_IC3_060824_,CORA,26
EMIT_IC3_060824_,CORA,27
EMIT_IC3_060824_,EPTO,28
EMIT_IC3_060824_,EPTO,29
EMIT_IC3_060824_,EPTO,30
EMIT_IC3_060824_,JUOS,31
EMIT_IC3_060824_,JUOS,32
EMIT_IC3_060824_,JUOS,33
EMIT_IC3_060824_,JUOS,34
EMIT_IC3_060824_,JUOS,35
EMIT_IC3_060824_,JUOS,36
EMIT_IC3_060824_,KRLA,37
EMIT_IC3_060824_,KRLA,38
EMIT_IC3_060824_,KRLA,39
EMIT_IC3_060824_,KRLA,40
EMIT_IC3_060824_,KRLA,41
EMIT_IC3_060824_,KRLA,42
EMIT_IC3_060824_,CORA,43
EMIT_IC3_060824_,CORA,44
EMIT_IC3_060824_,CORA,45
EMIT_IC3_060824_,EPVI,46
EMIT_IC3_060824_,EPVI,47
EMIT_IC3_060824_,EPVI,48
EMIT_IC3_060824_,CORA,49
EMIT_IC3_060824_,CORA,50
EMIT_IC3_060824_,CORA,51
EMIT_IC3_060824_,ARAR,52
EMIT_IC3_060824_,ARAR,53
EMIT_IC3_060824_,ARAR,54
EMIT_IC3_060824_,CORA,55
EMIT_IC3_060824_,CORA,56
EMIT_IC3_060824_,CORA,57
EMIT_IC3_060824_,ARAR,58
EMIT_IC3_060824_,ARAR,59
EMIT_IC3_060824_,ARAR,60
EMIT_IC3_060824_,ARAR,61
EMIT_IC3_060824_,ARAR,62
EMIT_IC3_060824_,ARAR,63
EMIT_IC3_060824_,JUOS,64
EMIT_IC3_060824_,JUOS,65
EMIT_IC3_060824_,JUOS,66
EMIT_IC3_060824_,ARAR,67
EMIT_IC3_060824_,ARAR,68
EMIT_IC3_060824_,ARAR,69
EMIT_IC3_060824_,ARAR,70
EMIT_IC3_060824_,ARAR,71
EMIT_IC3_060824_,ARAR,72
