Dir,Biocrust,File,Sample,Rep,ID
EMIT_IC1_060724_,BGR,1,1,1,101
EMIT_IC1_060724_,BGR,2,1,2,101
EMIT_IC1_060724_,BGR,3,1,3,101
EMIT_IC1_060724_,BGR,4,1,4,101
EMIT_IC1_060724_,BGR,5,1,5,101
EMIT_IC1_060724_,LCY,6,1,1,102
EMIT_IC1_060724_,LCY,7,1,2,102
EMIT_IC1_060724_,LCY,8,1,3,102
EMIT_IC1_060724_,LCY,9,1,4,102
EMIT_IC1_060724_,LCY,10,1,5,102
EMIT_IC1_060724_,DCY,11,1,1,103
EMIT_IC1_060724_,DCY,12,1,2,103
EMIT_IC1_060724_,DCY,13,1,3,103
EMIT_IC1_060724_,DCY,14,1,4,103
EMIT_IC1_060724_,DCY,15,1,5,103
EMIT_IC1_060724_,MOSS,16,1,1,
EMIT_IC1_060724_,MOSS,17,1,2,
EMIT_IC1_060724_,MOSS,18,1,3,
EMIT_IC1_060724_,MOSS,19,1,4,
EMIT_IC1_060724_,MOSS,20,1,5,
EMIT_IC1_060724_,BGR,21,2,1,
EMIT_IC1_060724_,BGR,22,2,2,
EMIT_IC1_060724_,BGR,23,2,3,
EMIT_IC1_060724_,BGR,24,2,4,
EMIT_IC1_060724_,BGR,25,2,5,
EMIT_IC1_060724_,LCY,26,2,1,
EMIT_IC1_060724_,LCY,27,2,2,
EMIT_IC1_060724_,LCY,28,2,3,
EMIT_IC1_060724_,LCY,29,2,4,
EMIT_IC1_060724_,LCY,30,2,5,
EMIT_IC1_060724_,DCY,31,2,1,
EMIT_IC1_060724_,DCY,32,2,2,
EMIT_IC1_060724_,DCY,33,2,3,
EMIT_IC1_060724_,DCY,34,2,4,
EMIT_IC1_060724_,DCY,35,2,5,
EMIT_IC1_060724_,MOSS,36,2,1,
EMIT_IC1_060724_,MOSS,37,2,2,
EMIT_IC1_060724_,MOSS,38,2,3,
EMIT_IC1_060724_,MOSS,39,2,4,
EMIT_IC1_060724_,MOSS,40,2,5,
EMIT_IC1_060724_,BGR,41,3,1,
EMIT_IC1_060724_,BGR,42,3,2,
EMIT_IC1_060724_,BGR,43,3,3,
EMIT_IC1_060724_,BGR,44,3,4,
EMIT_IC1_060724_,BGR,45,3,5,
EMIT_IC1_060724_,LCY,46,3,1,
EMIT_IC1_060724_,LCY,47,3,2,
EMIT_IC1_060724_,LCY,48,3,3,
EMIT_IC1_060724_,LCY,49,3,4,
EMIT_IC1_060724_,LCY,50,3,5,
EMIT_IC1_060724_,DCY,51,3,1,
EMIT_IC1_060724_,DCY,52,3,2,
EMIT_IC1_060724_,DCY,53,3,3,
EMIT_IC1_060724_,DCY,54,3,4,
EMIT_IC1_060724_,DCY,55,3,5,
EMIT_IC1_060724_,MOSS,56,3,1,
EMIT_IC1_060724_,MOSS,57,3,2,
EMIT_IC1_060724_,MOSS,58,3,3,
EMIT_IC1_060724_,MOSS,59,3,4,
EMIT_IC1_060724_,MOSS,60,3,5,
EMIT_IC1_060724_,BGR,61,4,1,
EMIT_IC1_060724_,BGR,62,4,2,
EMIT_IC1_060724_,BGR,63,4,3,
EMIT_IC1_060724_,BGR,64,4,4,
EMIT_IC1_060724_,BGR,65,4,5,
EMIT_IC1_060724_,LCY,66,4,1,
EMIT_IC1_060724_,LCY,67,4,2,
EMIT_IC1_060724_,LCY,68,4,3,
EMIT_IC1_060724_,LCY,69,4,4,
EMIT_IC1_060724_,LCY,70,4,5,
EMIT_IC1_060724_,DCY,71,4,1,
EMIT_IC1_060724_,DCY,72,4,2,
EMIT_IC1_060724_,DCY,73,4,3,
EMIT_IC1_060724_,DCY,74,4,4,
EMIT_IC1_060724_,DCY,75,4,5,
EMIT_IC1_060724_,MOSS,76,4,1,
EMIT_IC1_060724_,MOSS,77,4,2,
EMIT_IC1_060724_,MOSS,78,4,3,
EMIT_IC1_060724_,MOSS,79,4,4,
EMIT_IC1_060724_,MOSS,80,4,5,
EMIT_IC1_060724_,BGR,81,5,1,
EMIT_IC1_060724_,BGR,82,5,2,
EMIT_IC1_060724_,BGR,83,5,3,
EMIT_IC1_060724_,BGR,84,5,4,
EMIT_IC1_060724_,BGR,85,5,5,
EMIT_IC1_060724_,LCY,86,5,1,
EMIT_IC1_060724_,LCY,87,5,2,
EMIT_IC1_060724_,LCY,88,5,3,
EMIT_IC1_060724_,LCY,89,5,4,
EMIT_IC1_060724_,LCY,90,5,5,
EMIT_IC1_060724_,DCY,91,5,1,
EMIT_IC1_060724_,DCY,92,5,2,
EMIT_IC1_060724_,DCY,93,5,3,
EMIT_IC1_060724_,DCY,94,5,4,
EMIT_IC1_060724_,DCY,95,5,5,
EMIT_IC1_060724_,MOSS,96,5,1,
EMIT_IC1_060724_,MOSS,97,5,2,
EMIT_IC1_060724_,MOSS,98,5,3,
EMIT_IC1_060724_,MOSS,99,5,4,
EMIT_IC1_060724_,MOSS,100,5,5,
EMIT_IC1_060724_,BGR,101,6,1,
EMIT_IC1_060724_,BGR,102,6,2,
EMIT_IC1_060724_,BGR,103,6,3,
EMIT_IC1_060724_,BGR,104,6,4,
EMIT_IC1_060724_,BGR,105,6,5,
EMIT_IC1_060724_,LCY,106,6,1,
EMIT_IC1_060724_,LCY,107,6,2,
EMIT_IC1_060724_,LCY,108,6,3,
EMIT_IC1_060724_,LCY,109,6,4,
EMIT_IC1_060724_,LCY,110,6,5,
EMIT_IC1_060724_,DCY,111,6,1,
EMIT_IC1_060724_,DCY,112,6,2,
EMIT_IC1_060724_,DCY,113,6,3,
EMIT_IC1_060724_,DCY,114,6,4,
EMIT_IC1_060724_,DCY,115,6,5,
EMIT_IC1_060724_,MOSS,116,6,1,
EMIT_IC1_060724_,MOSS,117,6,2,
EMIT_IC1_060724_,MOSS,118,6,3,
EMIT_IC1_060724_,MOSS,119,6,4,
EMIT_IC1_060724_,MOSS,120,6,5,
EMIT_IC1_060724_,BGR,121,7,1,
EMIT_IC1_060724_,BGR,122,7,2,
