Dir,Biocrust,File
EMIT_IC2_060624_,MOSS,1
EMIT_IC2_060624_,MOSS,2
EMIT_IC2_060624_,MOSS,3
EMIT_IC2_060624_,MOSS,4
EMIT_IC2_060624_,MOSS,5
EMIT_IC2_060624_,LCY,6
EMIT_IC2_060624_,LCY,7
EMIT_IC2_060624_,LCY,8
EMIT_IC2_060624_,LCY,9
EMIT_IC2_060624_,LCY,10
EMIT_IC2_060624_,XXX,12
EMIT_IC2_060624_,XXX,13
EMIT_IC2_060624_,XXX,14
EMIT_IC2_060624_,XXX,15
EMIT_IC2_060624_,XXX,16
EMIT_IC2_060624_,LCY,18
EMIT_IC2_060624_,LCY,19
EMIT_IC2_060624_,LCY,20
EMIT_IC2_060624_,LCY,21
EMIT_IC2_060624_,LCY,22
EMIT_IC2_060624_,MOSS,23
EMIT_IC2_060624_,MOSS,24
EMIT_IC2_060624_,MOSS,25
EMIT_IC2_060624_,MOSS,26
EMIT_IC2_060624_,MOSS,27
EMIT_IC2_060624_,BGR,28
EMIT_IC2_060624_,BGR,29
EMIT_IC2_060624_,BGR,30
EMIT_IC2_060624_,BGR,31
EMIT_IC2_060624_,BGR,32
EMIT_IC2_060624_,BGR,33
EMIT_IC2_060624_,BGR,34
EMIT_IC2_060624_,BGR,35
EMIT_IC2_060624_,BGR,36
EMIT_IC2_060624_,BGR,37
EMIT_IC2_060624_,LCY,39
EMIT_IC2_060624_,LCY,40
EMIT_IC2_060624_,LCY,41
EMIT_IC2_060624_,LCY,42
EMIT_IC2_060624_,LCY,43
EMIT_IC2_060624_,MOSS,44
EMIT_IC2_060624_,MOSS,45
EMIT_IC2_060624_,MOSS,46
EMIT_IC2_060624_,MOSS,47
EMIT_IC2_060624_,MOSS,48
EMIT_IC2_060624_,BGR,49
EMIT_IC2_060624_,BGR,50
EMIT_IC2_060624_,BGR,51
EMIT_IC2_060624_,BGR,52
EMIT_IC2_060624_,BGR,53
EMIT_IC2_060624_,LCY,54
EMIT_IC2_060624_,LCY,55
EMIT_IC2_060624_,LCY,56
EMIT_IC2_060624_,LCY,57
EMIT_IC2_060624_,LCY,58
EMIT_IC2_060624_,MOSS,59
EMIT_IC2_060624_,MOSS,60
EMIT_IC2_060624_,MOSS,61
EMIT_IC2_060624_,MOSS,62
EMIT_IC2_060624_,MOSS,63
EMIT_IC2_060624_,BGR,64
EMIT_IC2_060624_,BGR,65
EMIT_IC2_060624_,BGR,66
EMIT_IC2_060624_,BGR,67
EMIT_IC2_060624_,BGR,68
EMIT_IC2_060624_,LCY,69
EMIT_IC2_060624_,LCY,70
EMIT_IC2_060624_,LCY,71
EMIT_IC2_060624_,LCY,72
EMIT_IC2_060624_,LCY,73
EMIT_IC2_060624_,MOSS,74
EMIT_IC2_060624_,MOSS,75
EMIT_IC2_060624_,MOSS,76
EMIT_IC2_060624_,MOSS,77
EMIT_IC2_060624_,MOSS,78
EMIT_IC2_060624_,BGR,79
EMIT_IC2_060624_,BGR,80
EMIT_IC2_060624_,BGR,81
EMIT_IC2_060624_,BGR,82
EMIT_IC2_060624_,BGR,83
EMIT_IC2_060624_,LCY,84
EMIT_IC2_060624_,LCY,85
EMIT_IC2_060624_,LCY,86
EMIT_IC2_060624_,LCY,87
EMIT_IC2_060624_,LCY,88
EMIT_IC2_060624_,MOSS,90
EMIT_IC2_060624_,MOSS,91
EMIT_IC2_060624_,MOSS,92
EMIT_IC2_060624_,MOSS,93
EMIT_IC2_060624_,MOSS,94
EMIT_IC2_060624_,BGR,95
EMIT_IC2_060624_,BGR,96
EMIT_IC2_060624_,BGR,97
EMIT_IC2_060624_,BGR,98
EMIT_IC2_060624_,BGR,99
EMIT_IC2_060624_,LCY,100
EMIT_IC2_060624_,LCY,101
EMIT_IC2_060624_,LCY,102
EMIT_IC2_060624_,LCY,103
EMIT_IC2_060624_,LCY,104
EMIT_IC2_060624_,MOSS,105
EMIT_IC2_060624_,MOSS,106
EMIT_IC2_060624_,MOSS,107
EMIT_IC2_060624_,MOSS,108
EMIT_IC2_060624_,MOSS,109
EMIT_IC2_060624_,BGR,110
EMIT_IC2_060624_,BGR,111
EMIT_IC2_060624_,BGR,112
EMIT_IC2_060624_,BGR,113
EMIT_IC2_060624_,BGR,114
EMIT_IC2_060624_,LCY,115
EMIT_IC2_060624_,LCY,116
EMIT_IC2_060624_,LCY,117
EMIT_IC2_060624_,LCY,118
EMIT_IC2_060624_,LCY,119
EMIT_IC2_060624_,MOSS,120
EMIT_IC2_060624_,MOSS,121
EMIT_IC2_060624_,MOSS,122
EMIT_IC2_060624_,MOSS,123
EMIT_IC2_060624_,MOSS,124
EMIT_IC2_060624_,DCY,125
EMIT_IC2_060624_,DCY,126
EMIT_IC2_060624_,DCY,127
EMIT_IC2_060624_,DCY,128
EMIT_IC2_060624_,DCY,129
EMIT_IC2_060624_,DCY,130
EMIT_IC2_060624_,DCY,131
EMIT_IC2_060624_,DCY,132
EMIT_IC2_060624_,DCY,133
EMIT_IC2_060624_,DCY,134
EMIT_IC2_060624_,DCY,135
EMIT_IC2_060624_,DCY,136
EMIT_IC2_060624_,DCY,137
EMIT_IC2_060624_,DCY,138
EMIT_IC2_060624_,DCY,139
EMIT_IC2_060624_,DCY,140
EMIT_IC2_060624_,DCY,141
EMIT_IC2_060624_,DCY,142
EMIT_IC2_060624_,DCY,143
EMIT_IC2_060624_,DCY,144
EMIT_IC2_060624_,DCY,145
EMIT_IC2_060624_,DCY,146
EMIT_IC2_060624_,DCY,147
EMIT_IC2_060624_,DCY,148
EMIT_IC2_060624_,DCY,149
EMIT_IC2_060624_,DCY,150
EMIT_IC2_060624_,DCY,151
EMIT_IC2_060624_,DCY,152
EMIT_IC2_060624_,DCY,153
EMIT_IC2_060624_,DCY,154
EMIT_IC2_060624_,DCY,155
EMIT_IC2_060624_,DCY,156
EMIT_IC2_060624_,DCY,157
EMIT_IC2_060624_,DCY,158
EMIT_IC2_060624_,DCY,159
EMIT_IC2_060624_,DCY,160
EMIT_IC2_060624_,DCY,161
EMIT_IC2_060624_,DCY,162
EMIT_IC2_060624_,DCY,163
EMIT_IC2_060624_,DCY,164
