Dir,Biocrust,File
EMIT_SF_,BGR,1
EMIT_SF_,BGR,2
EMIT_SF_,BGR,3
EMIT_SF_,BGR,4
EMIT_SF_,BGR,5
EMIT_SF_,LCY,6
EMIT_SF_,LCY,7
EMIT_SF_,LCY,8
EMIT_SF_,LCY,9
EMIT_SF_,LCY,10
EMIT_SF_,DCY,11
EMIT_SF_,DCY,12
EMIT_SF_,DCY,13
EMIT_SF_,DCY,14
EMIT_SF_,DCY,15
EMIT_SF_,COTE,16
EMIT_SF_,COTE,17
EMIT_SF_,COTE,18
EMIT_SF_,COTE,19
EMIT_SF_,COTE,20
EMIT_SF_,SQUA,21
EMIT_SF_,SQUA,22
EMIT_SF_,SQUA,23
EMIT_SF_,SQUA,24
EMIT_SF_,SQUA,25
EMIT_SF_,BGR,26
EMIT_SF_,BGR,27
EMIT_SF_,BGR,28
EMIT_SF_,BGR,29
EMIT_SF_,BGR,30
EMIT_SF_,LCY,31
EMIT_SF_,LCY,32
EMIT_SF_,LCY,33
EMIT_SF_,LCY,34
EMIT_SF_,LCY,35
EMIT_SF_,DCY,36
EMIT_SF_,DCY,37
EMIT_SF_,DCY,38
EMIT_SF_,DCY,39
EMIT_SF_,DCY,40
EMIT_SF_,COTE,41
EMIT_SF_,COTE,42
EMIT_SF_,COTE,43
EMIT_SF_,COTE,44
EMIT_SF_,COTE,45
EMIT_SF_,SQUA,46
EMIT_SF_,SQUA,47
EMIT_SF_,SQUA,48
EMIT_SF_,SQUA,49
EMIT_SF_,SQUA,50
EMIT_SF_,BGR,51
EMIT_SF_,BGR,52
EMIT_SF_,BGR,53
EMIT_SF_,BGR,54
EMIT_SF_,BGR,55
EMIT_SF_,LCY,61
EMIT_SF_,LCY,62
EMIT_SF_,LCY,63
EMIT_SF_,LCY,64
EMIT_SF_,LCY,65
EMIT_SF_,DCY,56
EMIT_SF_,DCY,57
EMIT_SF_,DCY,58
EMIT_SF_,DCY,59
EMIT_SF_,DCY,60
EMIT_SF_,COTE,66
EMIT_SF_,COTE,67
EMIT_SF_,COTE,68
EMIT_SF_,COTE,69
EMIT_SF_,COTE,70
EMIT_SF_,SQUA,71
EMIT_SF_,SQUA,72
EMIT_SF_,SQUA,73
EMIT_SF_,SQUA,74
EMIT_SF_,SQUA,75
EMIT_SF_,BGR,76
EMIT_SF_,BGR,77
EMIT_SF_,BGR,78
EMIT_SF_,BGR,79
EMIT_SF_,BGR,80
EMIT_SF_,LCY,81
EMIT_SF_,LCY,82
EMIT_SF_,LCY,83
EMIT_SF_,LCY,84
EMIT_SF_,LCY,85
EMIT_SF_,DCY,86
EMIT_SF_,DCY,87
EMIT_SF_,DCY,88
EMIT_SF_,DCY,89
EMIT_SF_,DCY,90
EMIT_SF_,COTE,91
EMIT_SF_,COTE,92
EMIT_SF_,COTE,93
EMIT_SF_,COTE,94
EMIT_SF_,COTE,95
EMIT_SF_,SQUA,96
EMIT_SF_,SQUA,97
EMIT_SF_,SQUA,98
EMIT_SF_,SQUA,99
EMIT_SF_,SQUA,100
EMIT_SF_,COTE,101
EMIT_SF_,COTE,102
EMIT_SF_,COTE,103
EMIT_SF_,COTE,104
EMIT_SF_,COTE,105
EMIT_SF_,SQUA,106
EMIT_SF_,SQUA,107
EMIT_SF_,SQUA,108
EMIT_SF_,SQUA,109
EMIT_SF_,SQUA,110
EMIT_SF_,COTE,111
EMIT_SF_,COTE,112
EMIT_SF_,COTE,113
EMIT_SF_,COTE,114
EMIT_SF_,COTE,115
EMIT_SF_,SQUA,116
EMIT_SF_,SQUA,117
EMIT_SF_,SQUA,118
EMIT_SF_,SQUA,119
EMIT_SF_,SQUA,120
EMIT_SF_,BGR,121
EMIT_SF_,BGR,122
EMIT_SF_,BGR,123
EMIT_SF_,BGR,124
EMIT_SF_,BGR,125
EMIT_SF_,LCY,126
EMIT_SF_,LCY,127
EMIT_SF_,LCY,128
EMIT_SF_,LCY,129
EMIT_SF_,LCY,130
EMIT_SF_,DCY,131
EMIT_SF_,DCY,132
EMIT_SF_,DCY,133
EMIT_SF_,DCY,134
EMIT_SF_,DCY,135
EMIT_SF_,BGR,136
EMIT_SF_,BGR,137
EMIT_SF_,BGR,138
EMIT_SF_,BGR,139
EMIT_SF_,BGR,140
EMIT_SF_,LCY,141
EMIT_SF_,LCY,142
EMIT_SF_,LCY,143
EMIT_SF_,LCY,144
EMIT_SF_,LCY,145
EMIT_SF_,DCY,146
EMIT_SF_,DCY,147
EMIT_SF_,DCY,148
EMIT_SF_,DCY,149
EMIT_SF_,DCY,150
EMIT_SF_,BGR,151
EMIT_SF_,BGR,152
EMIT_SF_,BGR,153
EMIT_SF_,BGR,154
EMIT_SF_,BGR,155
EMIT_SF_,LCY,156
EMIT_SF_,LCY,157
EMIT_SF_,LCY,158
EMIT_SF_,LCY,159
EMIT_SF_,LCY,160
EMIT_SF_,DCY,161
EMIT_SF_,DCY,162
EMIT_SF_,DCY,163
EMIT_SF_,DCY,164
EMIT_SF_,DCY,165
EMIT_SF_,BGR,166
EMIT_SF_,BGR,167
EMIT_SF_,BGR,168
EMIT_SF_,BGR,169
EMIT_SF_,BGR,170
EMIT_SF_,LCY,171
EMIT_SF_,LCY,172
EMIT_SF_,LCY,173
EMIT_SF_,LCY,174
EMIT_SF_,LCY,175
EMIT_SF_,DCY,176
EMIT_SF_,DCY,177
EMIT_SF_,DCY,178
EMIT_SF_,DCY,179
EMIT_SF_,DCY,180
EMIT_SF_,COTE,181
EMIT_SF_,COTE,182
EMIT_SF_,COTE,183
EMIT_SF_,COTE,184
EMIT_SF_,COTE,185
EMIT_SF_,SQUA,186
EMIT_SF_,SQUA,187
EMIT_SF_,SQUA,188
EMIT_SF_,SQUA,189
EMIT_SF_,SQUA,190
EMIT_SF_,COTE,191
EMIT_SF_,COTE,192
EMIT_SF_,COTE,193
EMIT_SF_,COTE,194
EMIT_SF_,COTE,195
EMIT_SF_,SQUA,196
EMIT_SF_,SQUA,197
EMIT_SF_,SQUA,198
EMIT_SF_,SQUA,199
EMIT_SF_,SQUA,200
EMIT_SF_,Rock_MOSS,201
EMIT_SF_,Rock_MOSS,202
EMIT_SF_,Rock_MOSS,203
EMIT_SF_,Rock_MOSS,204
EMIT_SF_,Rock_MOSS,205
EMIT_SF_,Rock_MOSS,206
EMIT_SF_,Rock_MOSS,207
EMIT_SF_,Rock_MOSS,208
EMIT_SF_,Rock_MOSS,209
EMIT_SF_,Rock_MOSS,210
EMIT_SF_,Rock_LCHk,211
EMIT_SF_,Rock_LCHk,212
EMIT_SF_,Rock_LCHk,213
EMIT_SF_,Rock_LCHk,214
EMIT_SF_,Rock_LCHk,215
EMIT_SF_,Rock_LCHg,216
EMIT_SF_,Rock_LCHg,217
EMIT_SF_,Rock_LCHg,218
EMIT_SF_,Rock_LCHg,219
EMIT_SF_,Rock_LCHg,220
EMIT_SF_,Rock_LCHy,221
EMIT_SF_,Rock_LCHy,222
EMIT_SF_,Rock_LCHy,223
EMIT_SF_,Rock_LCHy,224
EMIT_SF_,Rock_LCHy,225
EMIT_SF_,Rock_LCHb,226
EMIT_SF_,Rock_LCHb,227
EMIT_SF_,Rock_LCHb,228
EMIT_SF_,Rock_LCHb,229
EMIT_SF_,Rock_LCHb,230
