Dir,Plant,File,Sample,Rep
EMIT_SF_061024_,PIED,1,1,1
EMIT_SF_061024_,PIED,2,1,2
EMIT_SF_061024_,PIED,3,1,3
EMIT_SF_061024_,PIED,4,2,1
EMIT_SF_061024_,PIED,5,2,2
EMIT_SF_061024_,PIED,6,2,3
EMIT_SF_061024_,PIED,7,3,1
EMIT_SF_061024_,PIED,8,3,2
EMIT_SF_061024_,PIED,9,3,3
EMIT_SF_061024_,PIED,10,4,1
EMIT_SF_061024_,PIED,11,4,2
EMIT_SF_061024_,PIED,12,4,3
EMIT_SF_061024_,PIED,13,5,1
EMIT_SF_061024_,PIED,14,5,2
EMIT_SF_061024_,PIED,15,5,3
EMIT_SF_061024_,PIED,16,6,1
EMIT_SF_061024_,PIED,17,6,2
EMIT_SF_061024_,PIED,18,6,3
EMIT_SF_061024_,PIED,19,7,1
EMIT_SF_061024_,PIED,20,7,2
EMIT_SF_061024_,PIED,21,7,3
EMIT_SF_061024_,PIED,22,8,1
EMIT_SF_061024_,PIED,23,8,2
EMIT_SF_061024_,PIED,24,8,3
